province_name,tahun,nama_komoditas,hasil_panen,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
aceh,2010,Bawang Merah (Ton),3615.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Bawang Putih (Ton),161.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Bawang Daun (Ton),2736.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kentang (Ton),8587.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kubis (Ton),4466.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kembang Kol (Ton),990.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Petsai/Sawi (Ton),3520.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Wortel (Ton),2300.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Lobak (Ton),69.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kacang Merah (Ton),3425.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kacang Panjang (Ton),18507.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Cabai Besar (Ton),35324.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Cabai Rawit (Ton),28825.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Tomat (Ton),24496.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Terung (Ton),18454.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Buncis (Ton),2869.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Ketimun (Ton),22166.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Labu Siam (Ton),2555.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Kangkung (Ton),11209.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Bayam (Ton),5620.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Melinjo (Ton),15077.0,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Paprika (Ton),1.1666666666666667,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Petai (Ton),557.2857142857143,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Jengkol (Ton),1634.142857142857,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
aceh,2010,Jamur (Ton),15.04,21.927876281788222,31.041141134937615,26.11911768831746,84.09572970436415,15.20093853150235,3.184519519959197,5.1752626090869445,195.72037329822584,2.722760136359733
sumatera utara,2010,Bawang Merah (Ton),9413.0,22.77505863579537,32.16165729894376,27.038869863013698,83.49246575342465,15.100374999898913,4.277025772690907,4.510575292103143,219.43730093947562,2.5041765431175556
sumatera utara,2010,Bawang Putih (Ton),218.0,22.77505863579537,32.16165729894376,27.038869863013698,83.49246575342465,15.100374999898913,4.277025772690907,4.510575292103143,219.43730093947562,2.5041765431175556
sumatera utara,2010,Bawang Daun (Ton),16957.0,22.77505863579537,32.16165729894376,27.038869863013698,83.49246575342465,15.100374999898913,4.277025772690907,4.510575292103143,219.43730093947562,2.5041765431175556
