province_name,nama_komoditas,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,luar_wilayah_hektar,tahun,hasil_panen
bali,Wortel (Ton),23.75168854107752,30.840255009107462,26.83661474807943,81.3296903460838,13.948454870925191,4.269301712326409,6.3227044011934606,162.50446413003894,2.9973355676084354,79399.0,2012.0,3593.0
jambi,Cabai Rawit (Ton),21.991586993381738,30.780968413025448,25.44343489135588,84.11846593537928,11.953574450144052,3.979551035688756,4.277407314647254,226.60115408209464,3.393634774225168,113546.0,2013.0,13348.0
jawa timur,Tomat (Ton),22.77010958904109,30.860630136986305,26.278794520547947,77.51385590556644,15.149269525822248,5.73689249157505,5.635699706603286,163.0060002013714,2.7926168822967536,1105550.0,2012.0,62021.0
gorontalo,Jengkol (Ton),22.975409836065573,32.55874316939891,27.021584699453552,82.57103825136612,11.269589795707953,4.232601568068425,4.565573770491803,172.87900260456567,1.4787569585492,30728.0,2012.0,0.3333333333333333
kep. bangka belitung,Melinjo (Ton),23.794921374279216,31.649560901070583,26.99291486155749,82.34755365020813,14.551229823667509,5.379256126500308,5.689826940358406,177.49719589843946,3.3583793389816656,7490.0,2014.0,396.0
sumatera utara,Kembang Kol (Ton),22.945980127861304,31.971200636264022,26.8925738346988,84.54764501471773,14.514827936863758,4.785073312886762,4.107305036857647,201.5992818779472,1.6783209628219258,423465.0,2015.0,30317.0
papua,Kacang Merah (Ton),22.66144889972264,30.754944534432603,26.035738385799736,83.3525309805036,15.829548856320963,4.3530667798896925,4.8024879995452086,211.1106020739197,2.580515151602768,27756.0,2012.0,102.0
di yogyakarta,Jamur (Ton),23.10340008191872,31.245479452054795,26.29534246575342,85.92876712328767,15.523077204909525,5.366339609443311,2.556889691523881,184.66089131707085,5.211775219751638,55126.0,2013.0,704.67
kalimantan timur,Kentang (Ton),24.13562557282607,31.980168105072963,27.220604831153413,85.53417925789006,13.33684946107054,4.50352398774934,4.588549851987621,214.35097385865168,2.2433064041848514,63323.0,2013.0,0.0
bengkulu,Petai (Ton),22.26435733819508,30.72588878760256,25.740200546946216,84.09480401093893,16.43786951425967,5.166986774019208,7.173643169173549,220.53833860338392,2.168152283940304,88877.0,2012.0,1816.2857142857144
di yogyakarta,Bawang Putih (Ton),21.977252808099983,31.86388935930003,26.12413451027268,81.43421660635057,16.62448218118352,7.334102127659574,2.3226254274485783,197.58711053278392,1.1784671025177351,53553.0,2015.0,0.0
nusa tenggara barat,Labu Siam (Ton),22.79800560359401,32.42587107403171,26.82341418492851,80.79805106345064,13.042523338896306,7.791732636771394,5.97254004576659,224.5900344309665,2.3799703249992104,264666.0,2015.0,2185.0
maluku,Buncis (Ton),23.734996901871583,30.842915796229533,26.913789054579865,84.30660754208458,13.348571676203958,6.635995455849199,5.31493391499148,185.32628494442383,2.585757491031281,13394.0,2015.0,1657.0
lampung,Ketimun (Ton),22.909427501882288,32.29831218586774,27.14933983956146,82.51274431699265,14.653865934807596,4.348415830428177,4.362007073635418,189.39651864779967,2.304879206721516,345437.0,2010.0,23082.0
sulawesi utara,Cabai Rawit (Ton),24.04392197495588,31.498198783013724,27.37745421367811,80.93959331552978,13.214421783132533,5.8249409926395,4.140562248995984,186.7670682730924,1.5548756964504942,56157.0,2013.0,8461.0
jambi,Kentang (Ton),21.71311475409836,30.82676466107903,25.36003314134825,83.57709971422535,12.220946665985734,4.264181683109227,4.171569178865991,202.73197169998105,2.685085250472561,113379.0,2012.0,85536.0
sulawesi tenggara,Terung (Ton),23.789835714123424,32.35283381294121,27.4577034523282,80.98815385075191,13.623454044764689,4.954487012779382,3.688470381771088,169.74633052774468,1.561521751557766,96826.0,2014.0,9943.0
jawa timur,Wortel (Ton),23.385845412622587,31.357421337366688,26.96225718482909,79.04566362175485,15.0352934205752,6.024145652171526,6.130000856363466,160.3780808212976,2.6509745634740423,1102921.0,2013.0,66193.0
nusa tenggara barat,Petsai/Sawi (Ton),22.45853324194654,31.74838930774504,26.40246744345442,80.71555860178204,12.839833546249508,5.891200489334351,5.301994379960917,223.0432655571683,3.246510245610123,240180.0,2011.0,2807.0
sumatera barat,Buncis (Ton),22.678114288812804,30.623758686961374,26.74257833680645,80.22382940584399,20.53145428941844,4.6279577594284165,3.983696552914286,266.69670700380743,2.018398485804416,224182.0,2013.0,25709.0
aceh,Terung (Ton),22.07591918800805,31.72608834837932,26.738554895350028,84.40567818212344,14.439665617714112,3.185673877744045,5.584355817725192,193.848668729613,2.7159600759255698,308973.0,2012.0,16959.0
sumatera utara,Bayam (Ton),22.945980127861304,31.971200636264022,26.8925738346988,84.54764501471773,14.514827936863758,4.785073312886762,4.107305036857647,201.5992818779472,1.6783209628219258,423465.0,2015.0,19891.0
bali,Kembang Kol (Ton),23.91256364763878,31.27759936898896,27.23756186031269,79.6554244427032,13.898976738387006,6.611726790257583,5.811894816008168,177.85512276540547,3.062513967459185,76655.0,2014.0,1283.0
di yogyakarta,Kembang Kol (Ton),23.10340008191872,31.245479452054795,26.29534246575342,85.92876712328767,15.523077204909525,5.366339609443311,2.556889691523881,184.66089131707085,5.211775219751638,55126.0,2013.0,223.0
kalimantan utara,Jamur (Ton),23.786684575609915,32.044321044215046,27.471517311183817,82.35071997683517,14.61738260808294,5.265300829117347,5.2035452677591305,198.14981630826588,2.600711929018869,21775.0,2014.0,0.0
